rssd9017,rssd9017_name,bank_tier,first_year,last_year,years_observed,innovation_cluster,cluster_name,cluster_full_label,umap_1,umap_2
CONNECTONE BANK,CONNECTONE BANK,Medium,2013,2021,9,2,Steady Performers,Medium - Steady Performers,0.036962319165468216,3.1210849285125732
"CONWAY NATIONAL BANK, THE","CONWAY NATIONAL BANK, THE",Medium,2010,2021,13,2,Steady Performers,Medium - Steady Performers,1.344123363494873,1.7451022863388062
COREFIRST BANK & TRUST,COREFIRST BANK & TRUST,Medium,2010,2021,14,2,Steady Performers,Medium - Steady Performers,0.2551322877407074,4.986849308013916
CORTRUST BANK NATIONAL ASSOCIATION,CORTRUST BANK NATIONAL ASSOCIATION,Medium,2010,2021,12,2,Steady Performers,Medium - Steady Performers,1.5971417427062988,3.9160714149475098
COUNTRY BANK FOR SAVINGS,COUNTRY BANK FOR SAVINGS,Medium,2010,2021,12,2,Steady Performers,Medium - Steady Performers,-1.2938511371612549,5.506293296813965
COUNTRY CLUB BANK,COUNTRY CLUB BANK,Medium,2010,2021,12,2,Steady Performers,Medium - Steady Performers,-1.191076636314392,4.532322883605957
CRESCOM BANK,CRESCOM BANK,Medium,2011,2020,10,2,Steady Performers,Medium - Steady Performers,-0.19680671393871307,2.984774351119995
CRESTMARK BANK,CRESTMARK BANK,Medium,2010,2018,9,2,Steady Performers,Medium - Steady Performers,-1.2969985008239746,2.8645029067993164
"CROGHAN COLONIAL BANK, THE","CROGHAN COLONIAL BANK, THE",Medium,2010,2021,12,2,Steady Performers,Medium - Steady Performers,0.1662871092557907,4.102295875549316
CROSS RIVER BANK,CROSS RIVER BANK,Medium,2010,2021,14,2,Steady Performers,Medium - Steady Performers,-2.6978859901428223,4.8462653160095215
CROSSFIRST BANK,CROSSFIRST BANK,Medium,2010,2021,12,2,Steady Performers,Medium - Steady Performers,-2.710116147994995,5.635651111602783
CTBC BANK CORP. (USA),CTBC BANK CORP. (USA),Medium,2013,2021,9,2,Steady Performers,Medium - Steady Performers,-1.662087321281433,2.874786138534546
D.L. EVANS BANK,D.L. EVANS BANK,Medium,2010,2021,13,2,Steady Performers,Medium - Steady Performers,1.003265142440796,1.578109860420227
DACOTAH BANK,DACOTAH BANK,Medium,2010,2021,12,2,Steady Performers,Medium - Steady Performers,1.0419933795928955,3.510174512863159
DEDHAM INSTITUTION FOR SAVINGS,DEDHAM INSTITUTION FOR SAVINGS,Medium,2010,2021,12,2,Steady Performers,Medium - Steady Performers,0.49943166971206665,4.3779191970825195
"DNB FIRST, NATIONAL ASSOCIATION","DNB FIRST, NATIONAL ASSOCIATION",Medium,2010,2019,11,2,Steady Performers,Medium - Steady Performers,-2.6720943450927734,5.529040336608887
DUBUQUE BANK AND TRUST COMPANY,DUBUQUE BANK AND TRUST COMPANY,Medium,2010,2021,12,2,Steady Performers,Medium - Steady Performers,1.4078962802886963,2.932476282119751
EAST BOSTON SAVINGS BANK,EAST BOSTON SAVINGS BANK,Medium,2010,2021,12,2,Steady Performers,Medium - Steady Performers,-2.865983486175537,5.592028617858887
EAST CAMBRIDGE SAVINGS BANK,EAST CAMBRIDGE SAVINGS BANK,Medium,2010,2021,12,2,Steady Performers,Medium - Steady Performers,-2.2409005165100098,5.391557693481445
EASTHAMPTON SAVINGS BANK,EASTHAMPTON SAVINGS BANK,Medium,2010,2021,12,2,Steady Performers,Medium - Steady Performers,-1.5388542413711548,4.870762348175049
"EL DORADO SAVINGS BANK, F.S.B.","EL DORADO SAVINGS BANK, F.S.B.",Medium,2012,2021,10,2,Steady Performers,Medium - Steady Performers,-1.3294775485992432,3.021282434463501
EMBASSY BANK FOR THE LEHIGH VALLEY,EMBASSY BANK FOR THE LEHIGH VALLEY,Medium,2010,2021,13,2,Steady Performers,Medium - Steady Performers,0.6292005181312561,4.494421482086182
EMIGRANT BANK,EMIGRANT BANK,Medium,2010,2021,13,2,Steady Performers,Medium - Steady Performers,-2.921621322631836,5.656550884246826
EMPIRE NATIONAL BANK,EMPIRE NATIONAL BANK,Medium,2010,2020,12,2,Steady Performers,Medium - Steady Performers,-1.2198723554611206,3.999293804168701
EMPRISE BANK,EMPRISE BANK,Medium,2010,2021,12,2,Steady Performers,Medium - Steady Performers,2.3681371212005615,4.359007358551025
ENERBANK USA,ENERBANK USA,Medium,2010,2021,13,2,Steady Performers,Medium - Steady Performers,-1.0392876863479614,3.4867663383483887
ENTERPRISE BANK AND TRUST COMPANY,ENTERPRISE BANK AND TRUST COMPANY,Medium,2010,2021,12,2,Steady Performers,Medium - Steady Performers,2.3983395099639893,3.507131576538086
EPHRATA NATIONAL BANK,EPHRATA NATIONAL BANK,Medium,2010,2021,13,2,Steady Performers,Medium - Steady Performers,-0.31420156359672546,4.403995513916016
"EVANS BANK, NATIONAL ASSOCIATION","EVANS BANK, NATIONAL ASSOCIATION",Medium,2010,2021,13,2,Steady Performers,Medium - Steady Performers,-1.3649877309799194,3.4960014820098877
EVERGREEN BANK GROUP,EVERGREEN BANK GROUP,Medium,2010,2021,13,2,Steady Performers,Medium - Steady Performers,-2.44083309173584,4.472677230834961
"EXTRACO BANKS, NATIONAL ASSOCIATION","EXTRACO BANKS, NATIONAL ASSOCIATION",Medium,2010,2021,12,2,Steady Performers,Medium - Steady Performers,1.3223609924316406,4.009885311126709
FAIRFIELD COUNTY BANK,FAIRFIELD COUNTY BANK,Medium,2010,2021,12,2,Steady Performers,Medium - Steady Performers,0.6118990778923035,2.663076877593994
FALCON INTERNATIONAL BANK,FALCON INTERNATIONAL BANK,Medium,2010,2021,13,2,Steady Performers,Medium - Steady Performers,1.628672480583191,2.6429526805877686
FALL RIVER FIVE CENTS SAVINGS BANK,FALL RIVER FIVE CENTS SAVINGS BANK,Medium,2010,2021,13,2,Steady Performers,Medium - Steady Performers,-0.18054044246673584,3.9105899333953857
"FARMERS & MERCHANTS STATE BANK, THE","FARMERS & MERCHANTS STATE BANK, THE",Medium,2010,2021,13,2,Steady Performers,Medium - Steady Performers,-1.5238078832626343,5.520853519439697
FARMERS AND MERCHANTS BANK OF LONG BEACH,FARMERS AND MERCHANTS BANK OF LONG BEACH,Medium,2010,2021,13,2,Steady Performers,Medium - Steady Performers,-1.7153642177581787,3.369533061981201
FARMERS AND MERCHANTS TRUST COMPANY OF CHAMBERSBURG,FARMERS AND MERCHANTS TRUST COMPANY OF CHAMBERSBURG,Medium,2010,2021,13,2,Steady Performers,Medium - Steady Performers,1.758803129196167,2.8036532402038574
"FARMERS NATIONAL BANK OF CANFIELD, THE","FARMERS NATIONAL BANK OF CANFIELD, THE",Medium,2010,2021,12,2,Steady Performers,Medium - Steady Performers,0.292855441570282,4.788872241973877
"FARMERS NATIONAL BANK OF EMLENTON, THE","FARMERS NATIONAL BANK OF EMLENTON, THE",Medium,2010,2021,12,2,Steady Performers,Medium - Steady Performers,-2.297255754470825,4.3313517570495605
FARMINGTON BANK,FARMINGTON BANK,Medium,2010,2018,9,2,Steady Performers,Medium - Steady Performers,-2.404878854751587,4.163096904754639
FIDELITY BANK & TRUST,FIDELITY BANK & TRUST,Medium,2010,2021,12,2,Steady Performers,Medium - Steady Performers,1.7885175943374634,2.766268730163574
"FIDELITY BANK, THE","FIDELITY BANK, THE",Medium,2010,2021,12,2,Steady Performers,Medium - Steady Performers,2.0328738689422607,3.3134143352508545
"FIDELITY DEPOSIT AND DISCOUNT BANK, THE","FIDELITY DEPOSIT AND DISCOUNT BANK, THE",Medium,2010,2021,12,2,Steady Performers,Medium - Steady Performers,0.6793623566627502,1.8027089834213257
FINEMARK NATIONAL BANK & TRUST,FINEMARK NATIONAL BANK & TRUST,Medium,2010,2021,12,2,Steady Performers,Medium - Steady Performers,-2.2197089195251465,5.4289469718933105
FIRST AMERICAN BANK,FIRST AMERICAN BANK,Medium,2010,2021,13,2,Steady Performers,Medium - Steady Performers,0.9636613130569458,2.5026965141296387
FIRST AMERICAN BANK AND TRUST,FIRST AMERICAN BANK AND TRUST,Medium,2010,2021,13,2,Steady Performers,Medium - Steady Performers,0.9274234175682068,3.242948055267334
FIRST BANK & TRUST,FIRST BANK & TRUST,Medium,2010,2021,13,2,Steady Performers,Medium - Steady Performers,0.8550524711608887,2.3521409034729004
"FIRST BANK AND TRUST COMPANY, THE","FIRST BANK AND TRUST COMPANY, THE",Medium,2010,2021,12,2,Steady Performers,Medium - Steady Performers,-0.7801164984703064,3.8475136756896973
FIRST BANK FINANCIAL CENTRE,FIRST BANK FINANCIAL CENTRE,Medium,2010,2020,12,2,Steady Performers,Medium - Steady Performers,-2.4517147541046143,4.32650089263916
FIRST BANK OF HIGHLAND PARK,FIRST BANK OF HIGHLAND PARK,Medium,2010,2021,12,2,Steady Performers,Medium - Steady Performers,0.7859355807304382,2.5888335704803467
"FIRST BANKERS TRUST COMPANY, NATIONAL ASSOCIATION","FIRST BANKERS TRUST COMPANY, NATIONAL ASSOCIATION",Medium,2010,2021,13,2,Steady Performers,Medium - Steady Performers,-0.2875893712043762,2.4972851276397705
FIRST BUSINESS BANK,FIRST BUSINESS BANK,Medium,2010,2021,13,2,Steady Performers,Medium - Steady Performers,-2.7227745056152344,4.784688949584961
FIRST CITIZENS COMMUNITY BANK,FIRST CITIZENS COMMUNITY BANK,Medium,2012,2021,11,2,Steady Performers,Medium - Steady Performers,-2.248332977294922,5.387241363525391
FIRST CITIZENS NATIONAL BANK,FIRST CITIZENS NATIONAL BANK,Medium,2010,2021,13,2,Steady Performers,Medium - Steady Performers,2.3921396732330322,3.66083025932312
FIRST COUNTY BANK,FIRST COUNTY BANK,Medium,2010,2021,12,2,Steady Performers,Medium - Steady Performers,0.9052479863166809,3.543745756149292
FIRST DAKOTA NATIONAL BANK,FIRST DAKOTA NATIONAL BANK,Medium,2010,2021,12,2,Steady Performers,Medium - Steady Performers,1.3435461521148682,3.0110065937042236
FIRST FARMERS AND MERCHANTS BANK,FIRST FARMERS AND MERCHANTS BANK,Medium,2010,2021,13,2,Steady Performers,Medium - Steady Performers,1.980839490890503,3.2031118869781494
FIRST FARMERS BANK & TRUST,FIRST FARMERS BANK & TRUST,Medium,2010,2019,11,2,Steady Performers,Medium - Steady Performers,-0.9124868512153625,3.5785157680511475
FIRST FEDERAL BANK OF LOUISIANA,FIRST FEDERAL BANK OF LOUISIANA,Medium,2012,2021,10,2,Steady Performers,Medium - Steady Performers,2.3155386447906494,4.729767322540283
FIRST FEDERAL BANK OF THE MIDWEST,FIRST FEDERAL BANK OF THE MIDWEST,Medium,2012,2020,9,2,Steady Performers,Medium - Steady Performers,-1.6512788534164429,2.9309775829315186
FIRST FEDERAL SAVINGS AND LOAN ASSOCIATION OF LAKEWOOD,FIRST FEDERAL SAVINGS AND LOAN ASSOCIATION OF LAKEWOOD,Medium,2012,2021,10,2,Steady Performers,Medium - Steady Performers,-1.9658424854278564,3.896095037460327
FIRST FEDERAL SAVINGS AND LOAN ASSOCIATION OF PORT ANGELES,FIRST FEDERAL SAVINGS AND LOAN ASSOCIATION OF PORT ANGELES,Medium,2011,2021,11,2,Steady Performers,Medium - Steady Performers,-1.937432885169983,5.799737930297852
"FIRST FINANCIAL BANK, NATIONAL ASSOCIATION","FIRST FINANCIAL BANK, NATIONAL ASSOCIATION",Medium,2010,2021,13,2,Steady Performers,Medium - Steady Performers,-1.2708513736724854,2.7944979667663574
FIRST FOUNDATION BANK,FIRST FOUNDATION BANK,Medium,2012,2021,11,2,Steady Performers,Medium - Steady Performers,1.4442307949066162,3.1575772762298584
FIRST INTERNATIONAL BANK AND TRUST,FIRST INTERNATIONAL BANK AND TRUST,Medium,2010,2021,13,2,Steady Performers,Medium - Steady Performers,2.4184319972991943,4.107560157775879
FIRST INTERNET BANK OF INDIANA,FIRST INTERNET BANK OF INDIANA,Medium,2010,2021,13,2,Steady Performers,Medium - Steady Performers,-2.5039591789245605,4.403393745422363
FIRST KEYSTONE COMMUNITY BANK,FIRST KEYSTONE COMMUNITY BANK,Medium,2010,2021,13,2,Steady Performers,Medium - Steady Performers,2.5043416023254395,4.09657621383667
"FIRST MID-ILLINOIS BANK & TRUST, NATIONAL ASSOCIATION","FIRST MID-ILLINOIS BANK & TRUST, NATIONAL ASSOCIATION",Medium,2010,2018,9,2,Steady Performers,Medium - Steady Performers,-1.6920274496078491,3.0921456813812256
"FIRST NATIONAL BANK AND TRUST COMPANY, THE","FIRST NATIONAL BANK AND TRUST COMPANY, THE",Medium,2010,2021,13,2,Steady Performers,Medium - Steady Performers,-0.7310457825660706,4.806192874908447
"FIRST NATIONAL BANK IN SIOUX FALLS, THE","FIRST NATIONAL BANK IN SIOUX FALLS, THE",Medium,2010,2021,12,2,Steady Performers,Medium - Steady Performers,-1.1358002424240112,5.419500827789307
FIRST NATIONAL BANK OF CENTRAL TEXAS,FIRST NATIONAL BANK OF CENTRAL TEXAS,Medium,2010,2021,13,2,Steady Performers,Medium - Steady Performers,2.469996452331543,3.671353578567505
"FIRST NATIONAL BANK OF LONG ISLAND, THE","FIRST NATIONAL BANK OF LONG ISLAND, THE",Medium,2010,2021,12,2,Steady Performers,Medium - Steady Performers,-2.405393362045288,5.680126667022705
FIRST NATIONAL BANK OF NORTHERN CALIFORNIA,FIRST NATIONAL BANK OF NORTHERN CALIFORNIA,Medium,2010,2018,10,2,Steady Performers,Medium - Steady Performers,-0.6356161236763,2.8133115768432617
FIRST NATIONAL BANK OF SANTA FE,FIRST NATIONAL BANK OF SANTA FE,Medium,2010,2017,9,2,Steady Performers,Medium - Steady Performers,0.10627982765436172,2.728745937347412
FIRST NATIONAL BANK OF TENNESSEE,FIRST NATIONAL BANK OF TENNESSEE,Medium,2010,2021,12,2,Steady Performers,Medium - Steady Performers,2.169567346572876,2.6259310245513916
FIRST NATIONAL BANK TEXAS DBA FIRST CONVENIENCE BANK,FIRST NATIONAL BANK TEXAS DBA FIRST CONVENIENCE BANK,Medium,2010,2021,13,2,Steady Performers,Medium - Steady Performers,1.3476914167404175,4.024290561676025
FIRST NORTHERN BANK OF DIXON,FIRST NORTHERN BANK OF DIXON,Medium,2010,2021,13,2,Steady Performers,Medium - Steady Performers,1.1970194578170776,1.5934258699417114
FIRST PREMIER BANK,FIRST PREMIER BANK,Medium,2010,2021,12,2,Steady Performers,Medium - Steady Performers,2.4866440296173096,4.478394508361816
FIRST STATE BANK OF UVALDE,FIRST STATE BANK OF UVALDE,Medium,2010,2021,12,2,Steady Performers,Medium - Steady Performers,-1.2640374898910522,2.9087071418762207
FIRST STATE COMMUNITY BANK,FIRST STATE COMMUNITY BANK,Medium,2010,2021,12,2,Steady Performers,Medium - Steady Performers,-0.4398362338542938,4.02182149887085
FIRST VOLUNTEER BANK,FIRST VOLUNTEER BANK,Medium,2012,2021,11,2,Steady Performers,Medium - Steady Performers,-0.4742295742034912,4.212052345275879
FIRST WESTERN BANK AND TRUST,FIRST WESTERN BANK AND TRUST,Medium,2010,2021,13,2,Steady Performers,Medium - Steady Performers,-1.8879497051239014,5.958008289337158
"FIRST, A NATIONAL BANKING ASSOCIATION, THE","FIRST, A NATIONAL BANKING ASSOCIATION, THE",Medium,2010,2021,13,2,Steady Performers,Medium - Steady Performers,-0.04012821987271309,2.057835817337036
FIRSTBANK SOUTHWEST,FIRSTBANK SOUTHWEST,Medium,2010,2021,12,2,Steady Performers,Medium - Steady Performers,2.58174467086792,4.461119651794434
FIVE POINTS BANK,FIVE POINTS BANK,Medium,2010,2021,13,2,Steady Performers,Medium - Steady Performers,1.5669695138931274,3.1037864685058594
FLUSHING BANK,FLUSHING BANK,Medium,2013,2021,9,2,Steady Performers,Medium - Steady Performers,-1.3201205730438232,5.361949920654297
"FORCHT BANK, NATIONAL ASSOCIATION","FORCHT BANK, NATIONAL ASSOCIATION",Medium,2010,2021,14,2,Steady Performers,Medium - Steady Performers,-0.40849462151527405,1.9565645456314087
FRANDSEN BANK & TRUST,FRANDSEN BANK & TRUST,Medium,2010,2021,13,2,Steady Performers,Medium - Steady Performers,1.1083396673202515,1.5381402969360352
FRANKLIN SYNERGY BANK,FRANKLIN SYNERGY BANK,Medium,2010,2020,11,2,Steady Performers,Medium - Steady Performers,-2.707954168319702,5.515480995178223
FULTON BANK OF NEW JERSEY,FULTON BANK OF NEW JERSEY,Medium,2011,2019,9,2,Steady Performers,Medium - Steady Performers,1.1746270656585693,4.122893333435059
GATE CITY BANK,GATE CITY BANK,Medium,2012,2021,10,2,Steady Performers,Medium - Steady Performers,-1.2670420408248901,3.2774784564971924
GERMAN AMERICAN BANCORP,GERMAN AMERICAN BANCORP,Medium,2010,2018,9,2,Steady Performers,Medium - Steady Performers,-1.3900567293167114,2.920900821685791
GLENS FALLS NATIONAL BANK AND TRUST COMPANY,GLENS FALLS NATIONAL BANK AND TRUST COMPANY,Medium,2010,2021,12,2,Steady Performers,Medium - Steady Performers,-1.5882549285888672,5.531251907348633
GLENVIEW STATE BANK,GLENVIEW STATE BANK,Medium,2010,2021,12,2,Steady Performers,Medium - Steady Performers,-1.5630778074264526,2.9324991703033447
GORHAM SAVINGS BANK,GORHAM SAVINGS BANK,Medium,2010,2021,13,2,Steady Performers,Medium - Steady Performers,-0.8241083025932312,5.033654689788818
GREAT SOUTHERN BANK,GREAT SOUTHERN BANK,Medium,2010,2021,12,2,Steady Performers,Medium - Steady Performers,0.4023497700691223,4.4225921630859375
GUARANTY BANK,GUARANTY BANK,Medium,2010,2021,12,2,Steady Performers,Medium - Steady Performers,-1.2795172929763794,4.340919494628906
GULF COAST BANK AND TRUST COMPANY,GULF COAST BANK AND TRUST COMPANY,Medium,2010,2021,14,2,Steady Performers,Medium - Steady Performers,0.47005730867385864,4.129441261291504
HAPPY STATE BANK,HAPPY STATE BANK,Medium,2010,2021,12,2,Steady Performers,Medium - Steady Performers,0.35548853874206543,2.924018621444702
HARBORONE BANK,HARBORONE BANK,Medium,2013,2021,9,2,Steady Performers,Medium - Steady Performers,0.17048156261444092,4.896426200866699
HEARTLAND BANK & TRUST COMPANY,HEARTLAND BANK & TRUST COMPANY,Medium,2010,2020,11,2,Steady Performers,Medium - Steady Performers,-1.0672377347946167,2.777700662612915
"HERITAGE BANK, INC.","HERITAGE BANK, INC.",Medium,2010,2021,13,2,Steady Performers,Medium - Steady Performers,2.148339033126831,2.850349187850952
HILLS BANK AND TRUST COMPANY,HILLS BANK AND TRUST COMPANY,Medium,2010,2021,12,2,Steady Performers,Medium - Steady Performers,0.016362866386771202,1.9953603744506836
HINGHAM INSTITUTION FOR SAVINGS,HINGHAM INSTITUTION FOR SAVINGS,Medium,2010,2021,13,2,Steady Performers,Medium - Steady Performers,-2.162490129470825,4.521194934844971
HINSDALE BANK & TRUST COMPANY,HINSDALE BANK & TRUST COMPANY,Medium,2010,2019,10,2,Steady Performers,Medium - Steady Performers,-0.6583301424980164,3.8910622596740723
HOME FEDERAL BANK OF TENNESSEE,HOME FEDERAL BANK OF TENNESSEE,Medium,2012,2021,10,2,Steady Performers,Medium - Steady Performers,-1.0843455791473389,3.190232038497925
HORICON BANK,HORICON BANK,Medium,2010,2021,13,2,Steady Performers,Medium - Steady Performers,2.239494562149048,2.7037832736968994
HOWARD BANK,HOWARD BANK,Medium,2010,2021,12,2,Steady Performers,Medium - Steady Performers,0.8354365229606628,2.894012451171875
ILLINOIS BANK & TRUST,ILLINOIS BANK & TRUST,Medium,2014,2021,9,2,Steady Performers,Medium - Steady Performers,-0.3724598288536072,4.931008815765381
INDEPENDENCE BANK OF KENTUCKY,INDEPENDENCE BANK OF KENTUCKY,Medium,2010,2021,13,2,Steady Performers,Medium - Steady Performers,0.6506058573722839,2.002774953842163
INDEPENDENT BANK,INDEPENDENT BANK,Medium,2010,2021,13,2,Steady Performers,Medium - Steady Performers,1.0044595003128052,3.115367889404297
INTER NATIONAL BANK,INTER NATIONAL BANK,Medium,2010,2018,9,2,Steady Performers,Medium - Steady Performers,-1.8346691131591797,5.663998603820801
INTERAUDI BANK,INTERAUDI BANK,Medium,2010,2021,12,2,Steady Performers,Medium - Steady Performers,-1.8905622959136963,5.984851360321045
INTERBANK,INTERBANK,Medium,2010,2021,13,2,Steady Performers,Medium - Steady Performers,2.0614402294158936,3.7909460067749023
INTERNATIONAL BANK OF COMMERCE,INTERNATIONAL BANK OF COMMERCE,Medium,2010,2021,13,2,Steady Performers,Medium - Steady Performers,-0.46571964025497437,4.6317315101623535
INVESTAR BANK,INVESTAR BANK,Medium,2010,2019,11,2,Steady Performers,Medium - Steady Performers,-0.5561935305595398,3.015115976333618
INWOOD NATIONAL BANK,INWOOD NATIONAL BANK,Medium,2010,2021,12,2,Steady Performers,Medium - Steady Performers,0.9854300022125244,1.6707310676574707
ISABELLA BANK,ISABELLA BANK,Medium,2010,2021,12,2,Steady Performers,Medium - Steady Performers,2.352374792098999,4.292943000793457
JD BANK,JD BANK,Medium,2013,2021,10,2,Steady Performers,Medium - Steady Performers,0.11149251461029053,2.3605594635009766
JERSEY SHORE STATE BANK,JERSEY SHORE STATE BANK,Medium,2010,2021,13,2,Steady Performers,Medium - Steady Performers,-2.193244457244873,5.5594072341918945
"JOHN DEERE FINANCIAL, F.S.B.","JOHN DEERE FINANCIAL, F.S.B.",Medium,2012,2021,10,2,Steady Performers,Medium - Steady Performers,-1.4238007068634033,3.5430784225463867
JOHN MARSHALL BANK,JOHN MARSHALL BANK,Medium,2010,2021,12,2,Steady Performers,Medium - Steady Performers,0.18818719685077667,1.9180936813354492
KENNEBEC SAVINGS BANK,KENNEBEC SAVINGS BANK,Medium,2010,2021,13,2,Steady Performers,Medium - Steady Performers,-0.0012763593113049865,4.718352794647217
KENNEBUNK SAVINGS BANK,KENNEBUNK SAVINGS BANK,Medium,2010,2021,13,2,Steady Performers,Medium - Steady Performers,0.6234456896781921,1.671445369720459
KENTUCKY BANK,KENTUCKY BANK,Medium,2010,2021,13,2,Steady Performers,Medium - Steady Performers,1.3342609405517578,4.146876811981201
KISH BANK,KISH BANK,Medium,2013,2021,10,2,Steady Performers,Medium - Steady Performers,-2.1490657329559326,5.6086649894714355
KITSAP BANK,KITSAP BANK,Medium,2010,2021,13,2,Steady Performers,Medium - Steady Performers,0.9724542498588562,2.992596387863159
KLEINBANK,KLEINBANK,Medium,2010,2018,9,2,Steady Performers,Medium - Steady Performers,0.27769309282302856,2.5067625045776367
LAFAYETTE AMBASSADOR BANK,LAFAYETTE AMBASSADOR BANK,Medium,2010,2019,10,2,Steady Performers,Medium - Steady Performers,-1.4770126342773438,2.7451467514038086
LAKE CITY BANK,LAKE CITY BANK,Medium,2010,2021,12,2,Steady Performers,Medium - Steady Performers,2.512524127960205,3.8125030994415283
LAKELAND BANK,LAKELAND BANK,Medium,2010,2021,12,2,Steady Performers,Medium - Steady Performers,-1.3685641288757324,4.233438968658447
LANDMARK NATIONAL BANK,LANDMARK NATIONAL BANK,Medium,2010,2021,13,2,Steady Performers,Medium - Steady Performers,0.4473556578159332,5.5223236083984375
LCNB NATIONAL BANK,LCNB NATIONAL BANK,Medium,2010,2021,13,2,Steady Performers,Medium - Steady Performers,-2.8498623371124268,5.467862606048584
"LEADER BANK, NATIONAL ASSOCIATION","LEADER BANK, NATIONAL ASSOCIATION",Medium,2010,2021,13,2,Steady Performers,Medium - Steady Performers,-0.15136408805847168,4.5793962478637695
LEGACYTEXAS BANK,LEGACYTEXAS BANK,Medium,2010,2019,10,2,Steady Performers,Medium - Steady Performers,-2.8061442375183105,4.607768535614014
LEVEL ONE BANK,LEVEL ONE BANK,Medium,2010,2021,13,2,Steady Performers,Medium - Steady Performers,0.5475956797599792,3.867154121398926
LIBERTYVILLE BANK & TRUST COMPANY,LIBERTYVILLE BANK & TRUST COMPANY,Medium,2010,2019,10,2,Steady Performers,Medium - Steady Performers,0.5051800012588501,4.57261323928833
LINCOLN SAVINGS BANK,LINCOLN SAVINGS BANK,Medium,2010,2021,13,2,Steady Performers,Medium - Steady Performers,-1.0619210004806519,5.389216423034668
LIVE OAK BANKING COMPANY,LIVE OAK BANKING COMPANY,Medium,2010,2021,13,2,Steady Performers,Medium - Steady Performers,-0.8871615529060364,2.669694662094116
LONE STAR NATIONAL BANK,LONE STAR NATIONAL BANK,Medium,2010,2021,12,2,Steady Performers,Medium - Steady Performers,2.1240458488464355,3.0040202140808105
LOS ALAMOS NATIONAL BANK,LOS ALAMOS NATIONAL BANK,Medium,2010,2018,9,2,Steady Performers,Medium - Steady Performers,0.44082728028297424,1.8542197942733765
LUANA SAVINGS BANK,LUANA SAVINGS BANK,Medium,2010,2021,13,2,Steady Performers,Medium - Steady Performers,-1.265978217124939,2.8833374977111816
LUBBOCK NATIONAL BANK,LUBBOCK NATIONAL BANK,Medium,2010,2018,10,2,Steady Performers,Medium - Steady Performers,-0.8707314729690552,3.5709543228149414
LUTHER BURBANK SAVINGS,LUTHER BURBANK SAVINGS,Medium,2012,2021,10,2,Steady Performers,Medium - Steady Performers,-1.1673710346221924,2.8018195629119873
"LYONS NATIONAL BANK, THE","LYONS NATIONAL BANK, THE",Medium,2010,2021,12,2,Steady Performers,Medium - Steady Performers,-1.2381056547164917,5.332127094268799
MACHIAS SAVINGS BANK,MACHIAS SAVINGS BANK,Medium,2010,2021,13,2,Steady Performers,Medium - Steady Performers,1.133791208267212,2.534014940261841
MAHOPAC BANK,MAHOPAC BANK,Medium,2013,2021,9,2,Steady Performers,Medium - Steady Performers,-1.2755515575408936,4.504916667938232
MAINSOURCE BANK,MAINSOURCE BANK,Medium,2010,2018,9,2,Steady Performers,Medium - Steady Performers,1.169783353805542,4.139711380004883
"MALAGA BANK, FSB","MALAGA BANK, FSB",Medium,2012,2021,11,2,Steady Performers,Medium - Steady Performers,-0.7935242056846619,3.243356466293335
MANUFACTURERS BANK,MANUFACTURERS BANK,Medium,2010,2021,12,2,Steady Performers,Medium - Steady Performers,-1.8563951253890991,5.042930603027344
MARQUETTE BANK,MARQUETTE BANK,Medium,2010,2021,12,2,Steady Performers,Medium - Steady Performers,2.1741139888763428,4.511879920959473
MARQUETTE SAVINGS BANK,MARQUETTE SAVINGS BANK,Medium,2010,2021,13,2,Steady Performers,Medium - Steady Performers,0.6608181595802307,3.3740012645721436
MASPETH FEDERAL SAVINGS AND LOAN ASSOCIATION,MASPETH FEDERAL SAVINGS AND LOAN ASSOCIATION,Medium,2012,2021,10,2,Steady Performers,Medium - Steady Performers,-0.7208215594291687,2.7294821739196777
MEDALLION BANK,MEDALLION BANK,Medium,2010,2021,13,2,Steady Performers,Medium - Steady Performers,-1.1947048902511597,3.7720189094543457
MERCHANTS NATIONAL BANK,MERCHANTS NATIONAL BANK,Medium,2010,2021,13,2,Steady Performers,Medium - Steady Performers,2.4407944679260254,3.9002394676208496
MEREDITH VILLAGE SAVINGS BANK,MEREDITH VILLAGE SAVINGS BANK,Medium,2010,2021,13,2,Steady Performers,Medium - Steady Performers,2.520577907562256,4.460293292999268
MERRIMACK COUNTY SAVINGS BANK,MERRIMACK COUNTY SAVINGS BANK,Medium,2010,2021,13,2,Steady Performers,Medium - Steady Performers,-1.693577766418457,5.174834728240967
METABANK,METABANK,Medium,2012,2020,9,2,Steady Performers,Medium - Steady Performers,-2.9736621379852295,5.577466011047363
METROPOLITAN COMMERCIAL BANK,METROPOLITAN COMMERCIAL BANK,Medium,2014,2021,9,2,Steady Performers,Medium - Steady Performers,2.6144700050354004,3.2248339653015137
"MIDDLEFIELD BANKING COMPANY, THE","MIDDLEFIELD BANKING COMPANY, THE",Medium,2010,2021,13,2,Steady Performers,Medium - Steady Performers,-2.914743423461914,5.6330389976501465
MIDDLESEX SAVINGS BANK,MIDDLESEX SAVINGS BANK,Medium,2010,2021,12,2,Steady Performers,Medium - Steady Performers,-0.7348731756210327,3.9142448902130127
